Date,Open,High,Low,Close,Volume,Market Cap
"Jul 28, 2017",0.016628,0.016766,0.014358,0.015182,13355000,145364000
"Jul 27, 2017",0.017386,0.017626,0.016228,0.016550,5858360,151995000
"Jul 26, 2017",0.017421,0.018898,0.015932,0.017387,13454700,152301000
"Jul 25, 2017",0.021928,0.022480,0.015305,0.017297,27560100,191703000
"Jul 24, 2017",0.019748,0.023276,0.017247,0.021923,34592400,172638000
"Jul 23, 2017",0.014793,0.020528,0.014656,0.019792,35548100,129322000
"Jul 22, 2017",0.011860,0.014932,0.011835,0.014887,5001090,103682000
"Jul 21, 2017",0.011935,0.012821,0.011566,0.011825,2887610,104337000
"Jul 20, 2017",0.010511,0.012750,0.010511,0.011950,4336140,91892200
"Jul 19, 2017",0.011336,0.012384,0.010481,0.010481,2879820,99100000
"Jul 18, 2017",0.010894,0.012363,0.010035,0.011269,4583540,95238800
"Jul 17, 2017",0.009263,0.010942,0.009192,0.010859,2644120,80978600
"Jul 16, 2017",0.009891,0.010290,0.008079,0.009221,3169300,86469800
"Jul 15, 2017",0.010748,0.010834,0.009581,0.009875,3288250,93965800
"Jul 14, 2017",0.011889,0.012119,0.009843,0.010766,3850360,103939000
"Jul 13, 2017",0.013397,0.015295,0.011024,0.011893,9343810,117125000
"Jul 12, 2017",0.011129,0.013377,0.009906,0.013301,7557740,97296400
"Jul 11, 2017",0.010051,0.011582,0.008567,0.011277,7065400,87872900
"Jul 10, 2017",0.014688,0.014772,0.009389,0.010231,7447620,128404000
"Jul 09, 2017",0.015892,0.016494,0.014684,0.014684,2645880,138930000
"Jul 08, 2017",0.015454,0.015851,0.014650,0.015822,3182000,135104000
"Jul 07, 2017",0.017878,0.018590,0.014853,0.015530,5537900,156297000
"Jul 06, 2017",0.017007,0.019499,0.016334,0.018011,8422280,148679000
"Jul 05, 2017",0.017762,0.018103,0.016826,0.016980,2757110,155278000
"Jul 04, 2017",0.019105,0.019141,0.017371,0.017795,7531650,167024000
"Jul 03, 2017",0.017657,0.020350,0.017657,0.019241,16261000,154237000
"Jul 02, 2017",0.016718,0.017472,0.013519,0.017330,6691810,145971000
"Jul 01, 2017",0.018023,0.018702,0.015783,0.016671,4639140,157210000
"Jun 30, 2017",0.019641,0.019855,0.017892,0.018117,6155650,171323000
"Jun 29, 2017",0.021471,0.021757,0.019276,0.019527,5575670,187184000
