Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",0.460111,0.483462,0.374301,0.473609,"1,147,870","37,606,300"
"Jun 26, 2017",0.539582,0.566172,0.350616,0.446120,"1,179,040","44,101,800"
"Jun 25, 2017",0.517040,0.614708,0.483308,0.539947,"1,644,480","42,259,400"
"Jun 24, 2017",0.446076,0.618371,0.443337,0.521016,"2,274,170","36,459,200"
"Jun 23, 2017",0.407983,0.463664,0.399664,0.442051,"604,154","33,345,800"
"Jun 22, 2017",0.393255,0.409593,0.377762,0.408023,"518,425","32,142,000"
"Jun 21, 2017",0.401013,0.411835,0.374695,0.388048,"504,512","32,776,100"
"Jun 20, 2017",0.371001,0.413878,0.360470,0.400551,"1,050,150","30,323,100"
"Jun 19, 2017",0.302639,0.371482,0.299482,0.370949,"1,011,090","24,735,700"
"Jun 18, 2017",0.296462,0.302779,0.285156,0.302548,"360,570","24,230,800"
"Jun 17, 2017",0.291452,0.308315,0.277826,0.296394,"416,742","23,821,300"
"Jun 16, 2017",0.278727,0.304834,0.268440,0.287765,"327,239","22,781,300"
"Jun 15, 2017",0.293711,0.303094,0.247905,0.278402,"404,664","24,006,000"
"Jun 14, 2017",0.311924,0.343006,0.278341,0.293011,"467,662","25,494,600"
"Jun 13, 2017",0.291745,0.325939,0.284321,0.311934,"520,796","23,845,300"
"Jun 12, 2017",0.292683,0.307519,0.242940,0.294305,"565,866","23,921,900"
"Jun 11, 2017",0.285721,0.293228,0.272221,0.293228,"549,160","23,352,900"
"Jun 10, 2017",0.315583,0.323345,0.279902,0.286125,"756,474","25,793,600"
"Jun 09, 2017",0.329425,0.344073,0.309435,0.312059,"736,871","26,167,000"
"Jun 08, 2017",0.304663,0.343117,0.297756,0.329939,"606,304","24,200,100"
"Jun 07, 2017",0.330468,0.337911,0.290829,0.301976,"545,571","26,249,900"
"Jun 06, 2017",0.327975,0.335652,0.302908,0.330066,"479,616","26,051,900"
"Jun 05, 2017",0.289169,0.332759,0.279193,0.326688,"470,109","22,969,400"
"Jun 04, 2017",0.309888,0.321222,0.273157,0.289339,"550,908","24,615,200"
"Jun 03, 2017",0.247518,0.321230,0.247518,0.306037,"788,438","19,661,000"
"Jun 02, 2017",0.241888,0.257048,0.225900,0.247396,"426,744","19,213,800"
"Jun 01, 2017",0.227560,0.257571,0.223769,0.241703,"398,697","18,075,600"
"May 31, 2017",0.218058,0.239062,0.211215,0.226857,"282,579","17,320,900"
"May 30, 2017",0.242627,0.253785,0.218585,0.219931,"301,811","19,080,300"
"May 29, 2017",0.236409,0.251585,0.226401,0.243441,"366,918","18,591,300"
"May 28, 2017",0.208810,0.269487,0.208810,0.236922,"290,861","16,420,900"
"May 27, 2017",0.257143,0.268148,0.182669,0.208549,"375,845","20,221,900"
"May 26, 2017",0.250962,0.297359,0.233940,0.256158,"294,682","19,735,800"
"May 25, 2017",0.304806,0.310791,0.247708,0.253378,"628,426","23,973,900"
"May 24, 2017",0.293029,0.339642,0.290905,0.304870,"1,410,960","23,047,600"
"May 23, 2017",0.259133,0.292351,0.252799,0.292351,"577,884","20,382,500"
"May 22, 2017",0.240559,0.275100,0.232016,0.259644,"651,720","18,924,500"
"May 21, 2017",0.200384,0.253167,0.195237,0.239526,"741,301","15,765,900"
"May 20, 2017",0.186987,0.201046,0.183057,0.199075,"489,928","14,721,100"
"May 19, 2017",0.160370,0.191823,0.156599,0.191517,"473,647","12,634,600"
"May 18, 2017",0.147474,0.161498,0.147474,0.160391,"292,260","11,492,800"
"May 17, 2017",0.132878,0.148589,0.129177,0.147925,"212,191","10,355,300"
"May 16, 2017",0.139543,0.144186,0.132425,0.132741,"222,866","10,874,700"
"May 15, 2017",0.143628,0.148315,0.137762,0.139246,"172,129","11,193,000"
"May 14, 2017",0.140244,0.145808,0.139834,0.143373,"140,274","10,929,300"
"May 13, 2017",0.130319,0.142627,0.123213,0.140304,"184,726","10,155,900"
"May 12, 2017",0.136257,0.140730,0.128404,0.130618,"269,724","10,618,600"
"May 11, 2017",0.144005,0.150392,0.136351,0.136789,"319,663","10,883,000"
"May 10, 2017",0.125622,0.146385,0.119046,0.143722,"243,557","9,493,690"
"May 09, 2017",0.126560,0.129736,0.121783,0.125347,"172,020","9,564,580"
"May 08, 2017",0.119477,0.126926,0.118721,0.126442,"177,577","9,029,290"
"May 07, 2017",0.126172,0.128046,0.112183,0.120545,"188,920","9,535,250"
"May 06, 2017",0.117416,0.123661,0.111943,0.123661,"182,565","8,873,530"
"May 05, 2017",0.119960,0.126499,0.114150,0.116941,"183,300","9,065,790"
"May 04, 2017",0.124973,0.126981,0.118277,0.119136,"253,792","9,357,660"
"May 03, 2017",0.114024,0.125619,0.112123,0.125040,"175,946","8,537,830"
"May 02, 2017",0.106212,0.116379,0.105912,0.114534,"177,581","7,952,890"
"May 01, 2017",0.115001,0.118544,0.105187,0.106110,"227,336","8,610,840"
"Apr 30, 2017",0.112867,0.119043,0.109319,0.115152,"154,689","8,451,060"
"Apr 29, 2017",0.103219,0.118963,0.100639,0.109984,"137,750","7,655,240"
"Apr 28, 2017",0.102275,0.109633,0.099053,0.102570,"187,399","7,581,340"
"Apr 27, 2017",0.095900,0.108115,0.095816,0.102157,"159,351","7,108,780"
"Apr 26, 2017",0.101397,0.119760,0.093867,0.099394,"279,036","7,516,260"
"Apr 25, 2017",0.089926,0.105878,0.081740,0.101436,"240,859","6,665,920"
"Apr 24, 2017",0.097519,0.097919,0.088855,0.089907,"166,956","7,228,810"
"Apr 23, 2017",0.107913,0.110295,0.097276,0.097414,"128,246","7,999,270"
"Apr 22, 2017",0.109435,0.118712,0.103640,0.107998,"130,638","8,112,090"
"Apr 21, 2017",0.115011,0.123565,0.102877,0.109398,"154,350","8,525,420"
"Apr 20, 2017",0.122495,0.132624,0.104399,0.116893,"330,330","9,080,220"
"Apr 19, 2017",0.144089,0.152163,0.121100,0.122465,"453,187","10,675,500"
"Apr 18, 2017",0.101771,0.169545,0.101670,0.144015,"1,263,920","7,540,140"
"Apr 17, 2017",0.110725,0.110725,0.093685,0.102231,"253,649","8,203,540"
"Apr 16, 2017",0.107712,0.112324,0.102596,0.110835,"149,498","7,980,310"
"Apr 15, 2017",0.111650,0.113031,0.099524,0.107393,"187,458","8,272,070"
"Apr 14, 2017",0.095072,0.117236,0.091652,0.111699,"386,693","7,043,850"
"Apr 13, 2017",0.088179,0.098532,0.088179,0.095113,"181,869","6,530,880"
"Apr 12, 2017",0.078689,0.090801,0.076497,0.088360,"164,107","5,806,800"
"Apr 11, 2017",0.069948,0.085990,0.069948,0.079329,"133,397","5,143,270"
"Apr 10, 2017",0.070502,0.072533,0.067436,0.069501,"102,483","5,183,990"
"Apr 09, 2017",0.063906,0.073447,0.063693,0.070592,"94,456","4,699,030"
"Apr 08, 2017",0.072235,0.076583,0.059205,0.063742,"102,399","5,311,440"
"Apr 07, 2017",0.050120,0.087450,0.050120,0.072796,"259,361","3,685,310"
"Apr 06, 2017",0.041974,0.057868,0.041974,0.050432,"77,517",-
"Apr 05, 2017",0.038408,0.050161,0.034637,0.042033,"63,969",-
"Apr 04, 2017",0.024157,0.044136,0.023904,0.038392,"26,510",-
"Apr 03, 2017",0.034175,0.047529,0.023875,0.024396,"27,808",-
"Apr 02, 2017",0.035036,0.040942,0.030304,0.034124,"21,517",-
"Apr 01, 2017",0.010996,0.040687,0.004958,0.035010,"9,846",-
"Mar 31, 2017",0.030535,0.038692,0.010997,0.010997,"9,194",-
"Mar 30, 2017",0.042521,0.042659,0.029200,0.030801,"18,692",-
