Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",1.02,1.05,0.968597,0.968597,"229,570","24,090,700"
"Jun 28, 2017",0.923626,1.02,0.895613,1.02,"255,558","21,838,300"
"Jun 27, 2017",0.900491,0.931715,0.760072,0.931715,"214,569","21,291,300"
"Jun 26, 2017",0.934504,1.01,0.736501,0.836479,"305,739","22,095,500"
"Jun 25, 2017",1.08,1.12,0.902345,0.934199,"317,166","25,599,600"
"Jun 24, 2017",1.27,1.27,1.05,1.08,"382,445","29,925,700"
"Jun 23, 2017",1.24,1.30,1.16,1.25,"720,673","29,358,500"
"Jun 22, 2017",1.18,1.33,1.10,1.24,"895,214","27,925,200"
"Jun 21, 2017",1.02,1.16,0.974227,1.15,"777,435","24,043,200"
"Jun 20, 2017",1.05,1.10,0.998283,1.02,"372,158","24,765,300"
"Jun 19, 2017",0.955921,1.18,0.905907,1.05,"817,212","22,601,800"
"Jun 18, 2017",0.931481,1.04,0.905535,0.955175,"307,956","22,024,000"
"Jun 17, 2017",0.912649,0.982344,0.898986,0.931711,"338,799","21,578,700"
"Jun 16, 2017",0.865665,0.934035,0.831786,0.911628,"273,932","20,467,800"
"Jun 15, 2017",0.871642,0.896706,0.721157,0.867997,"287,094","20,609,200"
"Jun 14, 2017",0.997391,1.05,0.829777,0.849777,"360,774","23,582,400"
"Jun 13, 2017",1.15,1.15,0.913913,0.997469,"540,511","27,290,200"
"Jun 12, 2017",0.940116,1.42,0.881238,1.15,"1,273,360","22,228,200"
"Jun 11, 2017",0.901273,0.949888,0.858074,0.942739,"337,050","21,309,800"
"Jun 10, 2017",0.927254,0.946079,0.848530,0.902740,"508,158","21,924,000"
"Jun 09, 2017",0.992704,1.00,0.897981,0.926538,"787,429","23,471,500"
"Jun 08, 2017",1.01,1.07,0.942892,0.993793,"458,594","23,992,300"
"Jun 07, 2017",1.22,1.24,0.980723,1.03,"500,775","28,841,300"
"Jun 06, 2017",1.15,1.28,1.14,1.22,"345,917","27,225,200"
"Jun 05, 2017",1.17,1.20,1.08,1.14,"358,845","27,627,600"
"Jun 04, 2017",1.09,1.19,1.02,1.16,"869,970","25,835,400"
"Jun 03, 2017",0.829453,1.10,0.718121,1.09,"1,775,750","19,611,600"
"Jun 02, 2017",0.877292,0.877460,0.814658,0.834474,"315,916","20,742,700"
"Jun 01, 2017",0.822243,0.924905,0.784839,0.878102,"319,461","19,441,200"
"May 31, 2017",0.829791,0.860570,0.776381,0.838274,"301,758","19,619,600"
"May 30, 2017",0.943564,0.989261,0.817999,0.829994,"357,481","22,309,700"
"May 29, 2017",0.967243,1.02,0.897260,0.941661,"968,453","22,869,500"
"May 28, 2017",0.954558,1.08,0.878098,0.970205,"275,808","22,569,600"
"May 27, 2017",0.891839,1.01,0.707574,0.949078,"386,509","21,086,700"
"May 26, 2017",0.967539,1.15,0.849167,0.888647,"318,980","22,876,500"
"May 25, 2017",1.12,1.20,0.907183,0.974425,"831,443","26,580,400"
"May 24, 2017",1.09,1.84,0.674819,1.13,"1,059,790","25,668,000"
"May 23, 2017",0.809878,1.77,0.780210,1.10,"926,550","19,148,800"
"May 22, 2017",0.782855,1.07,0.644876,0.854460,"1,080,760","18,509,900"
"May 21, 2017",0.816156,0.885045,0.774380,0.785874,"295,553","19,297,200"
"May 20, 2017",0.764076,0.864924,0.764076,0.815908,"252,944","18,065,900"
"May 19, 2017",0.827708,0.945557,0.764980,0.765049,"365,642","19,570,400"
"May 18, 2017",0.689264,0.856515,0.665454,0.828958,"300,976","16,297,000"
"May 17, 2017",0.653066,0.723289,0.609555,0.688574,"358,564","15,441,100"
"May 16, 2017",0.766990,0.774078,0.588643,0.659563,"329,462","18,134,800"
"May 15, 2017",0.831873,0.868288,0.744903,0.766529,"408,336","19,668,900"
"May 14, 2017",0.955297,0.983708,0.808773,0.808773,"381,672","22,587,100"
"May 13, 2017",0.842707,0.960669,0.816587,0.958482,"358,247","19,925,000"
"May 12, 2017",0.893846,0.924511,0.829095,0.843937,"430,664","21,134,100"
"May 11, 2017",0.852738,0.942556,0.808186,0.891387,"430,612","20,162,200"
"May 10, 2017",1.10,1.11,0.805569,0.873747,"476,255","26,013,900"
"May 09, 2017",1.38,1.52,0.955771,1.10,"924,447","32,718,900"
"May 08, 2017",1.02,1.57,0.887562,1.40,"1,052,990",-
"May 07, 2017",0.971281,1.22,0.847645,1.04,"416,619",-
