Date,Open,High,Low,Close,Volume,Market Cap
"Jun 27, 2017",77.76,80.65,65.46,74.13,"1,078,690","100,217,000"
"Jun 26, 2017",90.92,116.20,62.14,77.76,"5,654,300","117,182,000"
"Jun 25, 2017",86.64,96.45,84.53,89.99,"1,122,720","111,670,000"
"Jun 24, 2017",86.85,96.07,84.26,87.27,"548,940","111,937,000"
"Jun 23, 2017",81.95,90.50,81.01,85.99,"620,750","105,622,000"
"Jun 22, 2017",79.66,88.41,77.64,82.35,"464,035","102,675,000"
"Jun 21, 2017",88.18,99.91,76.47,79.65,"1,706,040","113,649,000"
"Jun 20, 2017",95.82,95.82,82.98,87.98,"801,058","123,504,000"
"Jun 19, 2017",94.00,99.33,92.35,95.71,"903,877","121,158,000"
"Jun 18, 2017",79.56,109.72,78.62,94.68,"3,037,740","102,543,000"
"Jun 17, 2017",76.38,84.39,75.84,80.30,"957,308","98,441,100"
"Jun 16, 2017",63.90,76.52,61.52,76.52,"444,405","82,363,400"
"Jun 15, 2017",60.71,68.41,55.29,63.93,"453,740","78,243,300"
"Jun 14, 2017",64.89,71.46,58.95,61.42,"214,025","83,639,400"
"Jun 13, 2017",58.74,66.24,58.74,64.49,"355,636","75,707,900"
"Jun 12, 2017",70.82,73.29,58.23,58.94,"233,851","91,276,300"
"Jun 11, 2017",73.62,81.51,62.50,70.91,"812,224","94,879,700"
"Jun 10, 2017",67.64,79.67,63.26,73.19,"911,566","87,177,100"
"Jun 09, 2017",57.02,71.95,56.38,67.54,"1,161,580","73,488,000"
"Jun 08, 2017",50.25,60.76,48.77,57.43,"256,725","64,770,900"
"Jun 07, 2017",50.74,54.60,48.00,50.01,"257,563","65,400,000"
"Jun 06, 2017",48.96,53.23,46.06,50.73,"305,715","63,096,400"
"Jun 05, 2017",40.83,55.42,40.50,49.97,"816,488","52,617,900"
"Jun 04, 2017",39.80,45.09,37.37,40.70,"328,178","51,296,800"
"Jun 03, 2017",36.72,46.27,30.75,40.50,"2,070,490","47,333,000"
"Jun 02, 2017",24.44,38.21,23.83,36.60,"761,794","31,493,600"
"Jun 01, 2017",22.81,24.93,22.81,24.43,"57,697","29,399,100"
"May 31, 2017",21.73,23.42,21.25,22.79,"213,192","28,009,300"
"May 30, 2017",22.87,24.65,21.54,22.04,"82,151","29,472,800"
