Date,Open,High,Low,Close,Volume,Market Cap
"Jun 29, 2017",0.592142,0.619392,0.154544,0.506539,"86,936","15,967,400"
"Jun 28, 2017",0.586657,0.621294,0.517150,0.592681,"27,602","15,806,300"
"Jun 27, 2017",0.550231,0.582908,0.481475,0.582908,"38,506","14,811,200"
"Jun 26, 2017",0.520751,0.554953,0.469850,0.550231,"49,984","14,006,800"
"Jun 25, 2017",0.498755,0.543882,0.431274,0.521020,"29,216","13,403,500"
"Jun 24, 2017",0.539038,0.554748,0.481603,0.499879,"38,238","14,473,800"
"Jun 23, 2017",0.442180,0.544773,0.441545,0.539099,"37,671","11,863,100"
"Jun 22, 2017",0.398249,0.498688,0.395667,0.442180,"46,131","10,675,300"
"Jun 21, 2017",0.375607,0.442028,0.356276,0.398244,"22,114","10,059,800"
"Jun 20, 2017",0.389676,0.389676,0.357526,0.375607,"13,804","10,427,700"
"Jun 19, 2017",0.387688,0.389883,0.364622,0.389676,"5,127","10,365,600"
"Jun 18, 2017",0.368716,0.387718,0.335573,0.387688,"11,446","9,850,030"
"Jun 17, 2017",0.414933,0.417957,0.315701,0.368727,"4,637","11,075,100"
"Jun 16, 2017",0.386882,0.420755,0.343343,0.414933,"11,735","10,317,400"
"Jun 15, 2017",0.347465,0.401819,0.297107,0.387086,"9,230","9,258,040"
"Jun 14, 2017",0.396163,0.423671,0.333905,0.347479,"9,732","10,546,400"
"Jun 13, 2017",0.367245,0.396423,0.352442,0.396353,"15,350","9,768,040"
"Jun 12, 2017",0.452028,0.455201,0.345733,0.368446,"14,187","12,012,700"
"Jun 11, 2017",0.447299,0.452730,0.360884,0.452618,"109,168","11,876,100"
"Jun 10, 2017",0.393049,0.488509,0.386266,0.447490,"28,944","10,427,000"
"Jun 09, 2017",0.371056,0.399687,0.370216,0.391812,"3,158","9,835,180"
"Jun 08, 2017",0.338094,0.414056,0.290706,0.377800,"16,783","8,953,600"
"Jun 07, 2017",0.419264,0.422227,0.327790,0.336403,"17,260","11,093,500"
"Jun 06, 2017",0.332952,0.434490,0.329532,0.419160,"8,909","8,802,110"
"Jun 05, 2017",0.333578,0.408259,0.268759,0.331949,"11,618","8,810,950"
"Jun 04, 2017",0.353544,0.404164,0.333518,0.333518,"7,047","9,330,240"
"Jun 03, 2017",0.351469,0.406924,0.289547,0.354501,"7,107","9,267,500"
"Jun 02, 2017",0.359498,0.363599,0.276460,0.351624,"39,327","9,471,080"
"Jun 01, 2017",0.365687,0.387917,0.342515,0.359339,"9,598","9,625,970"
"May 31, 2017",0.319898,0.368091,0.319898,0.365372,"3,363","8,417,080"
"May 30, 2017",0.361294,0.372424,0.314911,0.318648,"8,161","9,497,910"
"May 29, 2017",0.327353,0.383310,0.304539,0.360876,"9,614","8,598,030"
"May 28, 2017",0.344047,0.399440,0.325054,0.328015,"16,461","9,028,560"
"May 27, 2017",0.349825,0.360775,0.282188,0.342009,"24,520","9,172,170"
"May 26, 2017",0.384827,0.442141,0.319081,0.348669,"26,124","10,081,100"
"May 25, 2017",0.415202,0.520041,0.365513,0.387671,"22,079","10,867,100"
"May 24, 2017",0.442801,0.494010,0.396524,0.415981,"22,736","11,579,100"
"May 23, 2017",0.411108,0.445213,0.340869,0.442266,"8,460","10,740,800"
"May 22, 2017",0.362522,0.465627,0.321719,0.411713,"13,433","9,463,050"
"May 21, 2017",0.358334,0.461124,0.326895,0.361312,"38,163","9,345,370"
"May 20, 2017",0.291018,0.445520,0.258123,0.358448,"55,490","7,583,080"
"May 19, 2017",0.290289,0.299330,0.259512,0.291326,"18,835","7,557,410"
"May 18, 2017",0.224787,0.294968,0.207518,0.290123,"83,173","5,846,960"
"May 17, 2017",0.245990,0.256717,0.223965,0.224911,"20,911","6,392,780"
"May 16, 2017",0.221481,0.243316,0.202166,0.238092,"12,698","5,750,710"
"May 15, 2017",0.246709,0.247092,0.182280,0.221630,"26,084","6,400,120"
"May 14, 2017",0.208686,0.261041,0.207462,0.246564,"77,487","5,408,970"
"May 13, 2017",0.187362,0.208143,0.185513,0.208030,"4,083","4,851,940"
"May 12, 2017",0.221697,0.225837,0.180505,0.187739,"3,255","5,736,000"
"May 11, 2017",0.189656,0.223941,0.182878,0.221936,"19,916","4,902,600"
"May 10, 2017",0.217713,0.217813,0.181105,0.189319,"16,789","5,622,870"
"May 09, 2017",0.229649,0.243293,0.199939,0.217569,"42,803","5,925,860"
"May 08, 2017",0.212949,0.230702,0.201671,0.229570,"27,689","5,490,070"
"May 07, 2017",0.155053,0.232349,0.155053,0.212932,"34,875","3,993,880"
"May 06, 2017",0.127751,0.173439,0.127751,0.154982,"15,736","3,287,650"
"May 05, 2017",0.142502,0.175348,0.127078,0.127638,"25,155","3,663,980"
"May 04, 2017",0.123686,0.180585,0.122215,0.142206,"26,688","3,177,340"
"May 03, 2017",0.121052,0.125605,0.113482,0.113579,"2,166","3,106,860"
"May 02, 2017",0.117875,0.124707,0.100694,0.120972,"30,188","3,022,560"
"May 01, 2017",0.112692,0.120661,0.099194,0.117923,"24,159","2,887,040"
"Apr 30, 2017",0.106381,0.115113,0.097765,0.112659,"8,265","2,722,930"
"Apr 29, 2017",0.092950,0.106542,0.092950,0.106209,"6,104","2,377,040"
